Name,Author,Path,Servings,Ingredients,Instructions
Pan-Seared Scallops with Prosecco Butter Sauce,Tested and perfected in the Sur la Table kitchen,home/recipes/main-courses/seafood/Pan-Seared Scallops with Prosecco Butter Sauce,4 servings,2 tablespoons canola or vegetable oil 1- 1/2 pounds sea scallops tough ligament removed from the side  Kosher salt and freshly ground black pepper 1 tablespoon olive oil if needed 1 small shallot minced 1 medium garlic clove minced 1 cup Prosecco   3/4 cup whipping cream 3 tablespoons unsalted butter cut into small pieces 1 tablespoon lemon juice 2 tablespoons chopped chives   ,These succulent scallops are perfectly accompanied with sweet yet slightly acidic Prosecco in a delicate buttery sauce. For even cooking with a crisp exterior it is suggested that the exterior of the scallops are patted dry prior to cooking seasoned and allowed to reach room temperature before being placed into a hot pan.   Remove the scallops from the refrigerator and season with salt and pepper. Allow to reach room temperature.  To cook scallops: Place a large non-stick skillet over a high heat;  add canola oil and heat until the oil starts to shimmer. Carefully add the seasoned scallops to the skillet sear until browned on both sides and just opaque in the center-about 2 to 3 minutes per side depending on the size. Using tongs transfer the scallops to a plate and tent with foil to keep warm.  To prepare the sauce: Return the skillet to the stove over a moderate heat and add the olive oil if the pan is dry. When the oil is shimmering add the shallots and cook until tender about 2 minutes. Add the garlic and cook until fragrant about 1 minute. Add the Prosecco; bring the liquid to a boil and cook scraping up the browned bits from the bottom of the pan with a silicone spatula. Pour in the cream and continue to cook until the mixture has thickened about 3 minutes. Remove the pan from the heat and whisk in the butter a little at a time.  Stir in the lemon juice and chives taste and adjust seasoning with salt and pepper.   To serve: Divide the scallops between 4 warmed serving plates ladle the sauce over the top and serve immediately.   
Matzo Ball Soup,Tested and perfected in the Sur La Table kitchen,home/recipes/soups-stews/meat-poultry/Matzo Ball Soup,1 serving,Chicken stock: 1 4–5-lb. chicken cut into 8 pieces 1 pound chicken wings necks and/or backs 2 large yellow onions unpeeled quartered 6 celery stalks cut into 1" pieces 4 large carrots peeled cut into 1" pieces 1 large parsnip peeled cut into 1" pieces 1 large shallot quartered 1 head of garlic halved crosswise 6 sprigs flat-leaf parsley 1 tablespoon black peppercorns  Matzo ball mixture: 3 large eggs beaten to blend  3/4-cup matzo meal  3/4-cup schmaltz (chicken fat) melted 3 tablespoons club soda 1 3/4 teaspoon kosher salt  For the assembly: 2 small carrots peeled sliced  3/4" thick on a diagonal Kosher salt 2 tablespoons coarsely chopped fresh dill Coarsely ground fresh black pepper   ,To make the chicken stock: Bring all ingredients and 12 cups cold water to a boil in a very large (at least 12 qt.) stockpot. Reduce heat to medium-low and simmer until chicken breasts are cooked through about 20 minutes.  Transfer breasts to a plate (remaining chicken parts are strictly for stock). Let breasts cool slightly then remove meat and return bones to stock. Shred meat. Let cool tightly wrap and chill.  Continue to simmer stock skimming surface occasionally until reduced by one-third about 2 hours. Strain chicken stock through a fine-mesh sieve into a large saucepan (or airtight container if not using right away); discard solids. You should have about 8 cups.  Make ahead: Stock can be made 2 days ahead. Let cool; cover and chill. Keep reserved chicken meat chilled.  To make the Matzo Ball mixture: Mix eggs matzo meal schmaltz club soda and salt in a medium bowl (mixture will resemble wet sand; it will firm up as it rests). Cover and chill at least 2 hours.  Make ahead: Mixture can be made 1 day ahead. Keep chilled.  Assembly: Bring chicken stock to a boil in a large saucepan. Add carrots; season with salt. Reduce heat and simmer until carrots are tender 5–7 minutes. Remove from heat add reserved breast meat and cover. Set soup aside.  Meanwhile bring a large pot of well-salted water to a boil. Scoop out 2-tablespoonful portions matzo ball mixture and using wet hands gently roll into balls.  Add matzo balls to water and reduce heat so water is at a gentle simmer (too much bouncing around will break them up). Cover pot and cook matzo balls until cooked through and starting to sink 20–25 minutes.  Make ahead: Using a slotted spoon transfer matzo balls to bowls. Ladle soup over top with dill and season with pepper.  
Teriyaki Vegetable Skewers,Tom Douglas,home/recipes/side-dishes/vegetables/Teriyaki Vegetable Skewers,1 serving,Vegetables a variety of your favorite Tom Douglas Spicy Red Chili Teriyaki sauce   ,A simple and delicious side-just skewer your favorite vegetables and brush with our Tom Douglas Spicy Red Chili Teriyaki Sauce while they are grilling for amazing flavor.  Soak wooden skewers in water for at least one hour so they don’t burn.   Cut the vegetables and fruit into same size chunks for even cooking. Thread your vegetables through two skewers for ease of cooking turning and heating.   Brush the vegetables with a touch of olive oil and season with salt and pepper to  begin the grilling. About 2 minutes before removing from grill brush with Tom Douglas Spicy Red Chili Teriyaki Sauce.   
Classic Gougeres,The Art & Soul of Baking: Reprinted with permission of Andrews McMeel Publishing recipes by Cindy Mushet photography by Maren Caruso,home/recipes/appetizers/dips-spreads-sauces-seasonings/Classic Gougeres,32 gougeres,1 recipe Pate a Choux 1 cup (4 ounces) grated Gruyere cheese 2 teaspoons Dijon mustard  1/2 teaspoon ground or cracked black pepper 1 large egg   ,Gougeres are traditional cheese-laced pate a choux appetizers from the Burgundy region of France flavored with mustard Gruyere cheese and cracked black pepper-heavenly with a glass of red wine. Try different cheeses and flavorings and you will have a whole new hors d'oeuvre. Or split the baked puffs in half and fill them with crab or lobster salad or any filling you like. They aren't as flashy as some art-directed appetizers but they always disappear first at a party.  Preheat the oven to 400 degrees F and position two racks in the top and lower thirds of the oven. Line the baking sheets with parchment paper.  In the bowl of the stand mixer combine the dough  3/4 cup of the cheese the mustard and black pepper. Mix on low just until evenly blended.  Spoon 1-inch rounds of the dough onto the prepared baking sheets about 1 inch apart. In a small bowl lightly beat the egg to blend thoroughly. Brush a light coating of egg over the tops of the rounds being careful that it does not drip down the sides (it will glue the dough to the parchment). You will not use all the egg. Sprinkle each round with a little of the remaining  3/4 cup cheese.  Bake the gougeres for 20 minutes then reduce the oven temperature to 350 degrees F switch the sheets between the racks rotate each pan from front to back and bake for 10 to 15 minutes longer until the gougeres are a deep golden brown and no bubbling moisture is visible around the sides of each shape. Transfer to a rack to cool briefly. Serve the gougeres warm piled on a platter for guests to help themselves.  Storing: Baked gougeres may be stored airtight at room temperature for up to 3 days. Before serving warm and crisp them for 7 to 9 minutes in a 375 degrees F oven until the outside crust is crisp and the interior is heated through.   
Spent Coffee Short Rib Chili,Recipe courtesy of Scraps,home/recipes/main-courses/meat/Spent Coffee Short Rib Chili,6 servings  Learn more about Scraps ,1 tablespoon grapeseed oil 2  1/2 pounds boneless beef short ribs Coarse sea salt 3 medium yellow onions peeled and chopped 2 tablespoons chili powder 2 tablespoons ground cumin 1 tablespoon smoked paprika 2 tablespoons dark brown sugar 1 star anise  1/2 cup brandy 1 (28-ounce) can diced tomatoes 2 tablespoons spent coffee grounds 1 quart chicken stock homemade or bought 1  1/2 cups French brown lentils 1 cup packaged fried shallots (get them at any Asian grocery or online)  2 cups shredded sharp white cheddar cheese   ,Imagine how many cups of coffee are brewed every single morning and every one of those cups results in a couple of tablespoons of used coffee grounds. The aroma of coffee is intoxicating and it’s still there even after the beans are spent. I love their roasted chocolate notes with assertive red meats like the short ribs in this chili.   Get the oil hot in a large Dutch oven over medium-high heat. Season the short ribs with a good amount of salt. Brown the meat on all sides for about 3 minutes per side. Don’t crowd the pot. If the pieces of meat touch they will steam and not brown. Remove them and continue browning the rest of the short ribs. Remove onto the pot lid turned upside down to catch the juices.  Add the onions to the Dutch oven and cook until they start to brown about 5 minutes. Stir when it looks like they could use stirring.  Stir in the ground spices brown sugar and star anise and cook until the smell of the spices is strong a minute or so.  Add the brandy. Stand back as the brandy could flame. If it does cover with a lid to douse the flames. Another lid not the one holding the short ribs. Cook until the pot is almost dry. Add the tomatoes with their juices. Add the spent coffee grounds stock short ribs and any accumulated juices. Cover and simmer over low heat until the meat is fork-tender about 2 1/2 hours.  Stir in the lentils and continue to simmer covered until the lentils are tender about 30 minutes.  Remove the short ribs from the chili. Using two forks shred the meat into bite-size pieces. Stir back into the chili. Serve garnished with the fried shallots and cheese.  
Turkey Meatball Naan’wich with Yogurt and Pickled Vegetables,Tested and perfected in the Sur la Table kitchen,home/recipes/sandwiches/Turkey Meatball Naan’wich with Yogurt and Pickled Vegetables,4 servings,5 pieces whole-grain naan  1/2 cup water 1 medium tomato seeded and chopped 1 carrot peeled and chopped 1 red bell pepper seeded and chopped 1 pound ground turkey 1 egg white beaten 1 tablespoon chopped fresh oregano (or 1 teaspoon dried)   1/2 teaspoon sea salt  1/2  teaspoons freshly ground black pepper 1 tablespoon grapeseed oil 1 cup plain Greek yogurt 1 cup giardiniera (Italian pickled vegetables) chopped liquid reserved 1 romaine lettuce heart finely chopped   ,Heat oven to 425 degrees F. Cut one of the pieces of naan in half; save remaining half for another use. Tear into small pieces and place in a small bowl with water.  Juice the tomato carrot and bell pepper. Place the vegetable pulp in a large bowl with the turkey; reserve juice for another use. Add egg white oregano salt and pepper.   Squeeze excess water from soaking naan; add to the bowl with the turkey and mix well. Form the mixture into 16 balls.  Heat oil in a large skillet over medium heat. Place meatballs in skillet and sear until golden about 3 minutes. Flip meatballs over and place the skillet into the oven. Bake until meatballs reach 165 degrees F internal temperature about 10 minutes. Wrap remaining 4 naan in aluminum foil and place in oven to warm for a few minutes. Meanwhile combine yogurt and 2 tablespoons of giardiniera liquid.   To assemble spread about 2 tablespoons of yogurt sauce on each pita top with 4 meatballs chopped giardiniera and a handful of romaine.   
Cheddar and Bacon Stuffed Grilled Burgers,Recipe developed for Sur La Table's Cooking Classes,home/recipes/sandwiches/Cheddar and Bacon Stuffed Grilled Burgers,4 servings,2 pounds lean ground beef preferably ground sirloin 1 teaspoon salt  1/2 teaspoon freshly ground black pepper 1 1/2 cups grated sharp cheddar cheese  1/2 pound bacon chopped and cooked crisp crumbled (optional) Vegetable oil for brushing grill grates  4 fresh-baked hamburger buns   1 large sweet onion preferably Vidalia thinly sliced Romaine lettuce leaves sliced tomatoes ketchup and mustard as desired   ,The amazing inside-out cheeseburger! Toppings and condiments go on the inside so every bite is filled with melted cheese caramelized onions or whatever you like. Make 'em awesome and easy with our Stuff-A-BurgerTM Set.  Place ground beef in a large mixing bowl. Season with salt and pepper and mix gently to combine. Divide ground beef into four 8-ounce portions and divide again making eight approximately 1-inch thick patties.  Fill the Stuff-A-Burger Press with the seasoned ground beef. Press together firmly to seal the patty. Top the patty with the grated cheddar cheese and cooked bacon if using. Top with another 1-inch thick patty and press down again. Pop sealed burger out and place in the grill basket. Repeat with other patties.  Prepare a moderate charcoal fire preheat a gas grill to medium or heat a large grill pan over medium heat. Brush grill grates or grill pan with a thin coating of oil using a silicone pastry brush. Grill the prepared hamburger patties approximately 3 to 4 minutes on each side for a medium-rare hamburger. Place the buns face down on the hot grill until lightly browned.  To serve: place the burger on the bottom of each bun and top each burger with sliced onion. Top with other condiments as desired. Cover with toasted bun tops and serve immediately.   
Classic Yellow Layer Cake,The Art & Soul of Baking: Reprinted with permission of Andrews McMeel Publishing recipes by Cindy Mushet photography by Maren Caruso,home/recipes/desserts/cakes-custards/Classic Yellow Layer Cake,8 to 10 servings,1 recipe Dark Chocolate Ganache prepared at least 8 hours ahead covered and stored at room temperature 1 1/2 sticks (6 ounces) unsalted butter softened (65 degrees  to 68 degrees F)  3/4 cup (5 3/4 ounces) sugar 3 large eggs at room temperature 1 tablespoon pure vanilla extract 2 cups (7 ounces) sifted cake flour  3/4 teaspoon baking soda  3/4 teaspoon salt  1/3 cup (3 ounces) sour cream at room temperature   ,This buttery vanilla-scented cake is a variation on pound cake with a little extra leavener added to lighten the crumb. Although nearly any frosting pairs well with this celebration favorite it is especially luscious filled and frosted with silken chocolate ganache for the two-toned birthday cake most of us remember from childhood. For a special party or tea make the mini cupcakes variation at the end of the recipe (shown at left) then top them with swirls of Cream Cheese Frosting and finish them with pretty Sugared Flowers and/or touches of gold leaf.  Preheat the oven to 350 degrees F and position an oven rack in the center. Lightly coat the pan with melted butter oil or high-heat canola-oil spray and fit it with a round of parchment paper.  Cream the butter with the sugar: Place the butter and sugar in the bowl of the stand mixer and beat on medium until very light-almost white-in color 4 to 5 minutes. You can also use a hand mixer and a medium bowl although you may need to beat the mixture a little longer to achieve the same results. Scrape down the bowl with the spatula.  Add the eggs: Beat the eggs and vanilla in the small bowl to blend. With the mixer on medium add the eggs to the butter mixture about 1 tablespoon at a time allowing each addition to completely blend in before adding the next. About halfway through turn off the mixer and scrape down the bowl then resume adding the eggs. Scrape down the bowl again.  Add the dry and wet ingredients alternately: With the fine-mesh strainer sift the cake flour baking soda and salt into the medium bowl and whisk together. With the mixer on the lowest speed add the flour mixture and the sour cream alternately beginning with one-third of the flour mixture and half the sour cream; repeat then finish with flour mixture. Scrape down the bowl and finish blending the batter by hand if necessary.  Bake the cake: Scrape the batter into the prepared pan and smooth the top. Bake for 30 to 35 minutes until firm to the touch and a toothpick inserted into the center comes out clean. Transfer to a rack to cool completely.  Unmold the cake: Run the thin and flexible knife or spatula around the edge of the pan to loosen the cake. Place the cardboard on top of the pan hold both together and flip over. Remove the pan leaving the parchment on the cake. Flip again onto a second cake cardboard (or a plate) so the cake is right side up. Level the cake if necessary. Using a serrated knife slice the cake horizontally into two layers.  Assemble and frost the cake: Place the cake cardboard (or plate) on your work surface. Flip the top layer of cake over and place it cut side up on the cardboard-this will be the bottom of the cake. With the icing spatula spread 1 cup of ganache evenly over the surface of the cake all the way to the edge. Flip the bottom layer and slide it cut side down into place on top of the ganache. Peel off the parchment paper. Voil&agrave;-a crumb-free surface for frosting. Spread a very thin layer of the frosting known as a crumb coat over the cake. Chill for 15 minutes just to set the crumb coat. Use the remaining ganache to frost the top and side of the cake. Use a spoon to create swirls all over the top by gently pressing the tip of the spoon rounded edge down into the frosting in a back-and-forth motion.   To serve: slice the cake with a thin and sharp knife.  Storing: The cake can be stored at room temperature for 2 days or in the refrigeratorf r up to 4 days. Be sure to remove it from the refrigerator at least 1 hour before serving toal ow the cake and frosting to soften to the perfect eating consistency. Once cut there is nonee  to wrap the whole cake with plastic; simply press a piece of plastic wrap firmly againstthe  ut surfaces to keep the cake fresh.  To make Classic White Lay 
Watermelon Mint Slush,Zoku,home/recipes/beverages/cold-beverages/Watermelon Mint Slush,2 servings,4 cups fresh watermelon seeded and cubed (about 1 pound)  1 tablespoon fresh lime juice 1 tablespoon agave nectar 6- 8 mint leaves   ,Sweet watermelon takes center stage in this delicious slush-like sipping summer through a straw.  Place all ingredients into a blender and puree on medium speed. Pour into the Zoku Slush and Shake Maker; stir until thick.  Tip: Adjust the amount of agave nectar based upon the sweetness of your watermelon.   
Rhubarb Curd,Recipe developed for Sur La Table's Cooking Classes,home/recipes/desserts/cookies-bars-brownies/Rhubarb Curd,1 serving, 3/4 pound rhubarb (about 6 stalks) cut into 1-inch chunks  3/4 cup plus  1/3 cup plus  1/8 cup sugar divided 4 egg yolks 3 tablespoons unsalted butter cut into chunks 1 teaspoon lemon zest 2 teaspoons lemon juice   ,Wash the rhubarb and trim as little off the ends as possible. In a small saucepan heat rhubarb  3/4 cup sugar and 4 tablespoons water over medium heat. Cook until the rhubarb falls apart adding water by the tablespoon if the rhubarb sticks to the bottom of the pan. At this point either use an immersion blender to puree the mixture or (if you're like me and your blender is otherwise occupied) push the mixture through a strainer-the first method is definitely easier.  Put a couple inches of water into the pot of a double boiler and set it over medium heat. Put the egg yolks the remaining  1/3 cup plus  1/8 cup sugar the butter lemon zest and lemon juice in the bowl of the double boiler and whisk to combine. When the sugar has dissolved completely mix in the warm rhubarb puree by the spoonful to temper the eggs. When all the rhubarb has been mixed in set the bowl over the pot; the water should be simmering. Stir for about 5 minutes until warm and slightly thickened. Remove from the heat. Press through a fine-mesh strainer-this will give your curd that smooth pudding-like texture-into a jar or other container with lid. Once cooled the curd will keep in the fridge for up to a week.   
